# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	33300001	33400000	180
1	33400001	33500000	232
1	33500001	33600000	233
1	33600001	33700000	264
1	33700001	33800000	385
1	33800001	33900000	413
1	33900001	34000000	481
1	34000001	34100000	614
1	34100001	34200000	626
1	34200001	34300000	722
1	34300001	34400000	825
1	34400001	34500000	852
1	34500001	34600000	900
1	34600001	34700000	907
1	34700001	34800000	889
1	34800001	34900000	861
1	34900001	35000000	838
1	35000001	35100000	757
1	35100001	35200000	643
1	35200001	35300000	580
1	35300001	35400000	534
1	35400001	35500000	490
1	35500001	35600000	390
1	35600001	35700000	334
1	35700001	35800000	380
1	35800001	35900000	406
1	35900001	36000000	451
1	36000001	36100000	388
1	36100001	36200000	325
1	36200001	36300000	303
1	36300001	36400000	273
1	36400001	36500000	270
1	36500001	36600000	282
1	36600001	36700000	190
1	36700001	36800000	170
1	36800001	36900000	212
1	36900001	37000000	181
1	37000001	37100000	347
1	37100001	37200000	469
1	37200001	37300000	579
1	37300001	37400000	618
1	37400001	37500000	626
1	37500001	37600000	647
1	37600001	37700000	637
1	37700001	37800000	628
1	37800001	37900000	485
1	37900001	38000000	357
1	38000001	38100000	169
1	38100001	38200000	274
1	38200001	38300000	375
1	38300001	38400000	303
1	38400001	38500000	232
1	38500001	38600000	231
1	38600001	38700000	374
1	38700001	38800000	527
1	38800001	38900000	605
1	38900001	39000000	686
1	39000001	39100000	644
1	39100001	39200000	634
1	39200001	39300000	575
1	39300001	39400000	458
1	39400001	39500000	318
1	39500001	39600000	208
1	39600001	39700000	261
1	39700001	39800000	363
1	39800001	39900000	401
1	39900001	40000000	352
1	40000001	40100000	272
1	40100001	40200000	358
1	40200001	40300000	388
1	40300001	40400000	241
1	40400001	40500000	270
1	40500001	40600000	387
1	40600001	40700000	384
1	40700001	40800000	303
1	40800001	40900000	373
1	40900001	41000000	438
1	41000001	41100000	457
1	41100001	41200000	421
1	41200001	41300000	323
1	41300001	41400000	188
1	41400001	41500000	125
1	41500001	41600000	171
1	41600001	41700000	330
1	41700001	41800000	346
1	41800001	41900000	261
1	41900001	42000000	275
1	42000001	42100000	381
1	42100001	42200000	381
1	42200001	42300000	450
1	42300001	42400000	457
1	42400001	42500000	488
1	42500001	42600000	542
1	42600001	42700000	484
1	42700001	42800000	579
1	42800001	42900000	574
1	42900001	43000000	519
1	43000001	43100000	583
1	43100001	43200000	461
1	43200001	43300000	426
1	43300001	43400000	327
1	43400001	43500000	334
1	43500001	43600000	258
1	43600001	43700000	294
1	43700001	43800000	264
1	43800001	43900000	252
1	43900001	44000000	239
1	44000001	44100000	182
1	44100001	44200000	198
1	44200001	44300000	209
1	44300001	44400000	230
1	44400001	44500000	214
1	44500001	44600000	209
1	44600001	44700000	167
1	44700001	44800000	211
1	44800001	44900000	308
1	44900001	45000000	293
1	45000001	45100000	355
1	45100001	45200000	252
1	45200001	45300000	181
1	45300001	45400000	191
1	45400001	45500000	185
1	45500001	45600000	310
1	45600001	45700000	422
1	45700001	45800000	355
1	45800001	45900000	249
1	45900001	46000000	176
1	46000001	46100000	161
1	46100001	46200000	157
1	46200001	46300000	146
1	46300001	46400000	151
1	46400001	46500000	416
1	46500001	46600000	318
1	46600001	46700000	175
1	46700001	46800000	190
1	46800001	46900000	205
1	46900001	47000000	255
1	47000001	47100000	221
1	47100001	47200000	266
1	47200001	47300000	417
1	47300001	47400000	475
1	47400001	47500000	578
1	47500001	47600000	479
1	47600001	47700000	414
1	47700001	47800000	366
1	47800001	47900000	210
1	47900001	48000000	347
1	48000001	48100000	478
1	48100001	48200000	519
1	48200001	48300000	418
1	48300001	48400000	372
1	48400001	48500000	353
1	48500001	48600000	301
1	48600001	48700000	287
1	48700001	48800000	480
1	48800001	48900000	543
1	48900001	49000000	691
1	49000001	49100000	780
1	49100001	49200000	844
1	49200001	49300000	886
1	49300001	49400000	905
1	49400001	49500000	913
1	49500001	49600000	988
1	49600001	49700000	997
1	49700001	49800000	1006
1	49800001	49900000	1041
1	49900001	50000000	1023
1	50000001	50100000	975
1	50100001	50200000	992
1	50200001	50300000	990
1	50300001	50400000	937
1	50400001	50500000	926
1	50500001	50600000	905
1	50600001	50700000	824
1	50700001	50800000	708
1	50800001	50900000	639
1	50900001	51000000	590
1	51000001	51100000	678
1	51100001	51200000	691
1	51200001	51300000	644
1	51300001	51400000	531
1	51400001	51500000	417
1	51500001	51600000	352
1	51600001	51700000	361
1	51700001	51800000	305
1	51800001	51900000	281
1	51900001	52000000	251
1	52000001	52100000	157
1	52100001	52200000	150
1	52200001	52300000	288
1	52300001	52400000	382
1	52400001	52500000	353
1	52500001	52600000	315
1	52600001	52700000	287
1	52700001	52800000	367
1	52800001	52900000	448
1	52900001	53000000	394
1	53000001	53100000	355
1	53100001	53200000	261
1	53200001	53300000	232
1	53300001	53400000	205
1	53400001	53500000	311
1	53500001	53600000	386
1	53600001	53700000	391
1	53700001	53800000	258
1	53800001	53900000	310
1	53900001	54000000	385
1	54000001	54100000	368
1	54100001	54200000	391
1	54200001	54300000	383
1	54300001	54400000	319
1	54400001	54500000	174
1	54500001	54600000	201
1	54600001	54700000	225
1	54700001	54800000	313
1	54800001	54900000	369
1	54900001	55000000	287
1	55000001	55100000	309
1	55100001	55200000	415
1	55200001	55300000	343
1	55300001	55400000	249
1	55400001	55500000	190
1	55500001	55600000	217
1	55600001	55700000	230
1	55700001	55800000	282
1	55800001	55900000	297
1	55900001	56000000	379
1	56000001	56100000	413
1	56100001	56200000	413
1	56200001	56300000	411
1	56300001	56400000	424
1	56400001	56500000	462
1	56500001	56600000	501
1	56600001	56700000	520
1	56700001	56800000	554
1	56800001	56900000	579
1	56900001	57000000	616
1	57000001	57100000	563
1	57100001	57200000	454
1	57200001	57300000	514
1	57300001	57400000	611
1	57400001	57500000	713
1	57500001	57600000	810
1	57600001	57700000	885
1	57700001	57800000	908
1	57800001	57900000	929
1	57900001	58000000	979
1	58000001	58100000	974
1	58100001	58200000	1004
1	58200001	58300000	975
1	58300001	58400000	951
1	58400001	58500000	935
1	58500001	58600000	915
1	58600001	58700000	876
1	58700001	58800000	824
1	58800001	58900000	750
1	58900001	59000000	641
1	59000001	59100000	564
1	59100001	59200000	517
1	59200001	59300000	419
1	59300001	59400000	414
1	59400001	59500000	421
1	59500001	59600000	471
1	59600001	59700000	505
1	59700001	59800000	538
1	59800001	59900000	560
1	59900001	60000000	609
1	60000001	60100000	686
1	60100001	60200000	728
1	60200001	60300000	722
1	60300001	60400000	747
1	60400001	60500000	824
1	60500001	60600000	942
1	60600001	60700000	967
1	60700001	60800000	951
1	60800001	60900000	949
1	60900001	61000000	895
1	61000001	61100000	883
1	61100001	61200000	790
1	61200001	61300000	649
1	61300001	61400000	518
1	61400001	61500000	410
1	61500001	61600000	228
1	61600001	61700000	218
